# {"t_start": 1551044220.717452, "env_id": "MyBulletCartPole-v0"} 
r,l,t
39.0,39,1.179528
12.0,12,1.190737
10.0,10,1.200836
55.0,55,1.25013
16.0,16,1.26566
24.0,24,1.28523
20.0,20,1.302674
19.0,19,1.319374
16.0,16,1.33421
15.0,15,1.347932
14.0,14,1.360996
12.0,12,1.37251
17.0,17,1.386719
14.0,14,1.398941
16.0,16,1.413468
13.0,13,1.425341
18.0,18,1.440113
33.0,33,1.467856
11.0,11,1.479027
28.0,28,1.505522
52.0,52,1.548339
12.0,12,1.559092
21.0,21,1.578286
9.0,9,1.58669
18.0,18,1.60245
20.0,20,1.620559
15.0,15,1.635163
18.0,18,1.65112
14.0,14,1.663218
21.0,21,1.68134
21.0,21,1.699318
36.0,36,1.732284
14.0,14,1.744297
25.0,25,1.7673
11.0,11,1.77715
12.0,12,1.786847
17.0,17,1.8009
19.0,19,1.817293
11.0,11,1.827967
13.0,13,1.84026
20.0,20,1.858614
27.0,27,1.880446
9.0,9,1.888831
33.0,33,1.919343
10.0,10,1.928197
13.0,13,1.940378
13.0,13,1.952572
22.0,22,1.972229
21.0,21,1.990726
11.0,11,1.99943
9.0,9,2.007829
15.0,15,2.022002
17.0,17,2.036553
30.0,30,2.063136
18.0,18,2.078469
14.0,14,2.09124
28.0,28,2.114866
16.0,16,2.129546
23.0,23,2.148538
24.0,24,2.169354
36.0,36,2.199995
24.0,24,2.22177
28.0,28,2.246312
17.0,17,2.262229
22.0,22,2.281844
26.0,26,2.305091
25.0,25,2.327177
22.0,22,2.348114
22.0,22,2.369095
12.0,12,2.381352
26.0,26,2.404954
25.0,25,2.427495
14.0,14,2.439436
33.0,33,2.468935
13.0,13,2.480414
21.0,21,2.498218
60.0,60,2.549829
12.0,12,2.55963
24.0,24,2.578797
31.0,31,2.606522
17.0,17,2.620731
9.0,9,2.629076
9.0,9,2.637341
16.0,16,2.650991
22.0,22,2.670567
21.0,21,2.689356
14.0,14,2.703092
33.0,33,2.734246
23.0,23,2.754262
21.0,21,2.773243
30.0,30,2.802086
35.0,35,2.832508
20.0,20,2.849309
17.0,17,2.864914
12.0,12,2.874718
9.0,9,2.882074
11.0,11,2.890688
23.0,23,2.910538
17.0,17,2.926487
9.0,9,2.933799
22.0,22,2.954146
13.0,13,3.196507
15.0,15,3.212308
31.0,31,3.240399
