approxkl,clipfrac,dataset_rew,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_num_dones,serial_timesteps,time_elapsed,total_num_dones,total_timesteps,value_loss
1.0028951e-05,0.0,17902.551671624184,158.48979591836735,1391.148,0.0006298422813415527,115,1,1.4191902,-0.00012274573,12,2048,71.14028429985046,49,8192,9395.48
1.7604898e-05,0.0,17824.398330807686,163.73958333333334,1433.8666,0.0007047653198242188,120,2,1.4196877,-0.00010740489,11,4096,140.0879762172699,47,16384,9386.163
6.063844e-06,0.0,17721.957902371883,169.89,1475.3481,0.0006103515625,120,3,1.4197481,-1.1524215e-05,11,6144,207.8512523174286,46,24576,9265.873
6.015174e-06,0.0,17754.114809513092,173.21,1505.9996,0.0008826851844787598,128,4,1.4210148,-6.8291e-05,11,8192,271.7531840801239,44,32768,9395.06
1.6134783e-05,0.0,17675.272774219513,183.05,1587.4106,0.0007635354995727539,133,5,1.4219594,-0.00014969258,10,10240,332.92294216156006,41,40960,9345.14
1.4956187e-05,0.0,17583.484974861145,182.92,1576.0431,-0.0006411075592041016,135,6,1.422815,-0.0001550843,10,12288,393.5401961803436,40,49152,9256.771
2.0887765e-05,0.0,17995.907065033913,204.14,1769.5166,0.00015211105346679688,157,7,1.422994,-0.00022119159,8,14336,445.6996772289276,34,57344,9923.818
2.3309032e-05,0.0,17626.37367272377,218.05,1888.1969,0.0007777214050292969,170,8,1.4226804,-0.00019208257,8,16384,493.62490916252136,32,65536,9531.416
3.005272e-05,0.0,17804.530915141106,231.99,2012.3042,0.002842843532562256,172,9,1.420317,-0.0003894769,7,18432,541.2459051609039,31,73728,9753.684
5.4712465e-05,0.0,17718.37443435192,240.42,2082.556,0.0013582706451416016,171,10,1.4166362,-0.00022342053,7,20480,588.9941432476044,31,81920,9654.92
2.5718548e-06,0.0,17580.36178767681,235.81,2035.9615,0.0016507506370544434,163,11,1.415196,-4.206119e-05,8,22528,639.7595701217651,33,90112,9441.186
1.8053808e-05,0.0,17609.927950263023,237.32,2041.4769,-0.00031006336212158203,173,12,1.4139384,-0.00012843205,7,24576,686.8881499767303,30,98304,9540.667
4.0263258e-05,0.0,17924.496607542038,247.02,2131.7776,-0.0006921291351318359,188,13,1.4138485,-0.0001747092,7,26624,730.3615951538086,28,106496,9929.553
5.9498278e-05,0.0,17900.637889266014,260.02,2250.05,0.0015677809715270996,195,14,1.4149445,-0.00027977215,6,28672,772.3618350028992,26,114688,9949.186
0.0002033702,0.0,17777.372878551483,269.76,2342.7651,0.0007339119911193848,179,15,1.4154673,-0.00032067706,7,30720,817.9932479858398,29,122880,9723.019
9.709558e-05,0.0,17780.432226896286,280.79,2443.8955,0.0012802481651306152,194,16,1.416364,8.20273e-05,6,32768,860.0043001174927,27,131072,9769.854
2.8970246e-05,0.0,18103.81058013439,281.2,2446.2744,0.0009247064590454102,209,17,1.4137106,-0.00018945304,6,34816,899.0206360816956,24,139264,10202.965
7.808655e-05,0.0,18041.984062552452,294.2,2573.2607,0.0010849237442016602,208,18,1.4099737,-0.00016505958,6,36864,938.2756311893463,25,147456,10125.377
8.0617465e-05,0.0,18197.744376182556,303.68,2666.4243,0.00031572580337524414,214,19,1.4087125,-1.3056022e-05,6,38912,976.5452380180359,24,155648,10295.604
1.5111482e-05,0.0,17913.39222097397,306.01,2691.4521,-0.00015914440155029297,203,20,1.4053493,-0.00013480421,6,40960,1016.8077852725983,26,163840,9893.389
